,Quarter,Time,Tm,Detail,HOU,TEN
0,1.0,9:21,Texans,Ka'imi Fairbairn 23 yard field goal,3,0
1,2.0,10:40,Texans,Stephen Anderson 4 yard pass from Tom Savage (Ka'imi Fairbairn kick),10,0
2,2.0,4:18,Titans,Marcus Mariota 9 yard rush (Ryan Succop kick),10,7
3,2.0,0:03,Titans,Ryan Succop 43 yard field goal,10,10
4,3.0,0:03,Titans,Delanie Walker 24 yard pass from Marcus Mariota (Ryan Succop kick),10,17
5,4.0,4:37,Texans,Ka'imi Fairbairn 42 yard field goal,13,17
6,4.0,0:46,Titans,Derrick Henry 75 yard rush (Ryan Succop kick),13,24
