,Quarter,Time,Tm,Detail,OAK,DEN
0,1,8:00,Broncos,Howard Griffith 1 yard rush (Jason Elam kick),0,7
1,1,1:13,Broncos,Jason Elam 30 yard field goal,0,10
2,2,9:33,Broncos,"Safety, D. Smith blocked punt out of end zone",0,12
3,2,6:37,Broncos,Jason Elam 24 yard field goal,0,15
4,2,4:44,Raiders,Jon Ritchie 20 yard pass from Rich Gannon (Michael Husted kick),7,15
5,3,14:04,Raiders,Rickey Dudley 12 yard pass from Rich Gannon (James Jett pass from Rich Gannon),15,15
6,3,1:26,Raiders,Michael Husted 33 yard field goal,18,15
7,4,4:04,Broncos,Jason Elam 38 yard field goal,18,18
8,4,1:21,Raiders,Michael Husted 44 yard field goal,21,18
9,4,0:07,Broncos,Jason Elam 53 yard field goal,21,21
10,OT,12:26,Broncos,Olandis Gary 24 yard rush,21,27
