,Quarter,Tm,Detail,DET,PHI
0,1.0,Eagles,Po James 1 yard rush (Tom Dempsey kick),0,7
1,1.0,Eagles,Harold Carmichael 6 yard pass from Mike Boryla (Tom Dempsey kick),0,14
2,2.0,Lions,Errol Mann 38 yard field goal,3,14
3,3.0,Lions,Greg Landry 1 yard rush (Errol Mann kick),10,14
4,3.0,Eagles,Charle Young 1 yard pass from Mike Boryla (Tom Dempsey kick),10,21
5,4.0,Eagles,Tom Sullivan 4 yard rush (Tom Dempsey kick),10,28
6,4.0,Lions,Ron Jessie 21 yard pass from Greg Landry (Errol Mann kick),17,28
