,Quarter,Time,Tm,Detail,LAC,CIN
0,1.0,2:30,Bengals,Joe Burrow 23 yard rush (Randy Bullock kick),0,7
1,2.0,7:14,Chargers,Michael Badgley 24 yard field goal,3,7
2,2.0,0:03,Chargers,Michael Badgley 43 yard field goal,6,7
3,3.0,9:17,Bengals,Randy Bullock 50 yard field goal,6,10
4,3.0,1:36,Bengals,Randy Bullock 43 yard field goal,6,13
5,4.0,12:27,Chargers,Joshua Kelley 5 yard rush (Michael Badgley kick),13,13
6,4.0,8:59,Chargers,Michael Badgley 22 yard field goal,16,13
