,Quarter,Tm,Detail,IND,BUF
0,1.0,Bills,Pete Metzelaars 1 yard pass from Jim Kelly (Steve Christie kick),0,7
1,2.0,Bills,Steve Christie 52 yard field goal,0,10
2,3.0,Bills,Carwell Gardner 1 yard rush (Steve Christie kick),0,17
3,3.0,Bills,Henry Jones 23 yard interception return (Steve Christie kick),0,24
4,4.0,Bills,John Fina 1 yard pass from Jim Kelly (Steve Christie kick),0,31
5,4.0,Bills,Henry Jones 82 yard interception return (Steve Christie kick),0,38
