,Quarter,Time,Tm,Detail,PHI,ARI
0,1.0,4:39,Eagles,Jeremy Maclin 21 yard pass from Nick Foles (Cody Parkey kick),7,0
1,2.0,13:45,Cardinals,Andre Ellington 1 yard rush (Chandler Catanzaro kick),7,7
2,3.0,14:07,Cardinals,Larry Fitzgerald 80 yard pass from Carson Palmer (Chandler Catanzaro kick),7,14
3,3.0,7:19,Eagles,Cody Parkey 54 yard field goal,10,14
4,3.0,2:22,Eagles,Jeremy Maclin 54 yard pass from Nick Foles (Cody Parkey kick),17,14
5,4.0,9:01,Cardinals,Chandler Catanzaro 28 yard field goal,17,17
6,4.0,1:56,Eagles,Cody Parkey 20 yard field goal,20,17
7,4.0,1:21,Cardinals,John Brown 75 yard pass from Carson Palmer (Chandler Catanzaro kick),20,24
