,Quarter,Time,Tm,Detail,ATL,SFO
0,1.0,11:17,49ers,Wade Richey 32 yard field goal,0,3
1,2.0,11:35,Falcons,Morten Andersen 21 yard field goal,3,3
2,2.0,3:53,49ers,Wade Richey 30 yard field goal,3,6
3,3.0,9:57,49ers,Jason Webster 70 yard interception return (Wade Richey kick),3,13
4,3.0,4:13,Falcons,Morten Andersen 51 yard field goal,6,13
5,4.0,10:54,49ers,Wade Richey 26 yard field goal,6,16
