,Quarter,Tm,Detail,DET,BAL
0,1.0,Lions,Howard Cassady 2 yard rush (Bobby Layne kick),7,0
1,1.0,Colts,Jim Mutscheller 44 yard pass from Johnny Unitas (Bert Rechichar kick),7,7
2,2.0,Colts,L.G. Dupre 35 yard pass from Johnny Unitas (Bert Rechichar kick),7,14
3,2.0,Colts,Raymond Berry 35 yard pass from Johnny Unitas (Bert Rechichar kick),7,21
4,2.0,Colts,Bert Rechichar 38 yard field goal,7,24
5,3.0,Colts,L.G. Dupre 3 yard pass from Johnny Unitas (Bert Rechichar kick),7,31
6,3.0,Colts,Bert Rechichar 18 yard field goal,7,34
7,4.0,Lions,Jerry Reichow 32 yard pass from Tobin Rote (Bobby Layne kick),14,34
