,Quarter,Time,Tm,Detail,WAS,ARI
0,1.0,,Cardinals,Larry Centers 6 yard pass from Kent Graham (Kevin Butler kick),0,7
1,1.0,,Redskins,Scott Blanton 20 yard field goal,3,7
2,2.0,10:39,Cardinals,Jamir Miller 26 yard touchdown on a lateral (Kevin Butler kick),3,14
3,2.0,10:39,Redskins,Scott Turner fumble recovery in end zone (Scott Blanton kick),10,14
4,2.0,10:39,Redskins,Scott Blanton 22 yard field goal,13,14
5,2.0,10:39,Redskins,Scott Blanton 23 yard field goal,16,14
6,3.0,10:39,Redskins,Terry Allen 14 yard rush (Scott Blanton kick),23,14
7,3.0,10:39,Cardinals,Kevin Butler 22 yard field goal,23,17
8,4.0,10:39,Cardinals,Frank Sanders 21 yard pass from Kent Graham (Kevin Butler kick),23,24
9,4.0,10:39,Redskins,Scott Blanton 35 yard field goal,26,24
10,4.0,10:39,Cardinals,Kevin Butler 28 yard field goal,26,27
