,Quarter,Time,Tm,Detail,KAN,PIT
0,1.0,10:45,Steelers,Willie Parker 3 yard rush (Jeff Reed kick),0,7
1,1.0,0:50,Steelers,Nate Washington 47 yard pass from Ben Roethlisberger (Jeff Reed kick),0,14
2,2.0,9:31,Steelers,Willie Parker 8 yard rush (Jeff Reed kick),0,21
3,2.0,6:20,Steelers,Hines Ward 13 yard pass from Ben Roethlisberger (Jeff Reed kick),0,28
4,2.0,0:00,Steelers,Jeff Reed 32 yard field goal,0,31
5,3.0,6:00,Chiefs,Larry Johnson 2 yard rush (Lawrence Tynes kick),7,31
6,4.0,12:40,Steelers,Najeh Davenport 1 yard rush (Jeff Reed kick),7,38
7,4.0,3:31,Steelers,Rian Wallace 30 yard interception return (Jeff Reed kick),7,45
