,Quarter,Time,Tm,Detail,RAM,SFO
0,1.0,,49ers,John Taylor 7 yard pass from Steve Young (Doug Brien kick),0,7
1,1.0,,Rams,Tony Zendejas 31 yard field goal,3,7
2,1.0,,49ers,Jerry Rice 7 yard pass from Steve Young (Doug Brien kick),3,14
3,2.0,,Rams,Tony Zendejas 27 yard field goal,6,14
4,2.0,,49ers,Jerry Rice 5 yard pass from Steve Young (Doug Brien kick),6,21
5,3.0,,Rams,Todd Kinchen 44 yard rush (pass failed),12,21
6,3.0,,49ers,Doug Brien 28 yard field goal,12,24
7,3.0,,Rams,Flipper Anderson 50 yard pass from Chris Miller (Tony Zendejas kick),19,24
8,4.0,,Rams,Jessie Hester 22 yard pass from Chris Miller (Jerome Bettis run),27,24
9,4.0,,49ers,Jerry Rice 18 yard pass from Steve Young (Doug Brien kick),27,31
