,Quarter,Tm,Detail,BAL,CHI
0,1.0,Colts,Jimmy Orr 8 yard pass from Johnny Unitas,6,0
1,2.0,Bears,Rick Casares 12 yard pass from Billy Wade (Roger LeClerc kick),6,7
2,3.0,Bears,Mike Ditka 69 yard pass from Billy Wade (Roger LeClerc kick),6,14
3,3.0,Colts,"Safety, Martin tackled in end zone by Saul",8,14
4,3.0,Colts,Jimmy Orr 80 yard pass from Johnny Unitas (Dick Bielski kick),15,14
5,4.0,Bears,Joe Marconi 5 yard rush (Roger LeClerc kick),15,21
6,4.0,Bears,Joe Marconi 1 yard rush (Roger LeClerc kick),15,28
7,4.0,Bears,Johnny Morris 33 yard pass from Billy Wade (Roger LeClerc kick),15,35
