,Quarter,Tm,Detail,DET,BAL
0,1.0,Colts,Raymond Berry 64 yard pass from Johnny Unitas (Jim Martin kick),0,7
1,1.0,Colts,Jim Martin 25 yard field goal,0,10
2,1.0,Colts,John Mackey 42 yard pass from Johnny Unitas (Jim Martin kick),0,17
3,2.0,Lions,Gail Cogdill 20 yard pass from Earl Morrall (Milt Plum kick),7,17
4,2.0,Colts,Lenny Moore 4 yard rush (Jim Martin kick),7,24
5,2.0,Lions,Tom Watkins 1 yard rush (Milt Plum kick),14,24
6,3.0,Lions,Terry Barr 10 yard pass from Earl Morrall (Milt Plum kick),21,24
