,Quarter,Tm,Detail,CIN,PHI
0,1.0,Eagles,Anthony Toney 9 yard rush (Dean Dorsey kick),0,7
1,1.0,Bengals,Tim McGee 78 yard pass from Boomer Esiason (Jim Breech kick),7,7
2,1.0,Eagles,Keith Jackson 15 yard pass from Randall Cunningham (Dean Dorsey kick),7,14
3,2.0,Bengals,James Brooks 28 yard pass from Boomer Esiason (Jim Breech kick),14,14
4,3.0,Eagles,Dean Dorsey 34 yard field goal,14,17
5,4.0,Bengals,James Brooks 15 yard pass from Boomer Esiason (Jim Breech kick),21,17
6,4.0,Eagles,Anthony Toney 1 yard rush (Dean Dorsey kick),21,24
7,4.0,Bengals,Tim McGee 3 yard pass from Boomer Esiason (Jim Breech kick),28,24
