,Quarter,Tm,Detail,FRN,PRV
0,2.0,Steam Roller,Pop Williams 2 yard rush (Frosty Peters kick),0,7
1,2.0,Steam Roller,Frosty Peters 40 yard interception return (Frosty Peters kick),0,14
