,Quarter,Time,Tm,Detail,SEA,MIA
0,1.0,,Dolphins,Joe Nedney 20 yard field goal,0,3
1,1.0,,Seahawks,Joey Galloway 65 yard pass from John Friesz (Todd Peterson kick),7,3
2,2.0,12:15,Seahawks,Joey Galloway 51 yard pass from John Friesz (Todd Peterson kick),14,3
3,2.0,12:15,Dolphins,Randal Hill 33 yard pass from Craig Erickson (run failed),14,9
4,3.0,12:15,Dolphins,Irving Spikes 2 yard rush (run failed),14,15
5,4.0,12:15,Seahawks,Brian Blades 80 yard pass from John Friesz (Lamar Smith run),22,15
