,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Jets,Wesley Walker 47 yard pass from Richard Todd (Pat Leahy kick),0,7
1,1.0,Jets,Pat Leahy 36 yard field goal,0,10
2,2.0,Jets,Pat Leahy 22 yard field goal,0,13
3,2.0,Dolphins,Delvin Williams 58 yard rush,6,13
4,2.0,Jets,Mickey Shuler 1 yard pass from Richard Todd (Pat Leahy kick),6,20
5,3.0,Jets,Wesley Walker 43 yard pass from Richard Todd (Pat Leahy kick),6,27
6,3.0,Dolphins,Nat Moore 1 yard pass from Don Strock (Garo Yepremian kick),13,27
7,4.0,Jets,Pat Leahy 46 yard field goal,13,30
8,4.0,Jets,Pat Leahy 36 yard field goal,13,33
9,4.0,Dolphins,Loaird McCreary 5 yard pass from Guy Benjamin (Garo Yepremian kick),20,33
