,Quarter,Time,Tm,Detail,CAR,WAS
0,1.0,10:20,Redskins,Vernon Davis 22 yard pass from Alex Smith (Dustin Hopkins kick),0,7
1,1.0,3:02,Redskins,Paul Richardson 2 yard pass from Alex Smith (Dustin Hopkins kick),0,14
2,2.0,5:30,Redskins,Dustin Hopkins 49 yard field goal,0,17
3,2.0,3:05,Panthers,Devin Funchess 23 yard pass from Cam Newton (Graham Gano kick failed),6,17
4,3.0,5:08,Panthers,Graham Gano 32 yard field goal,9,17
5,4.0,12:40,Redskins,Dustin Hopkins 56 yard field goal,9,20
6,4.0,8:32,Panthers,Torrey Smith 3 yard pass from Cam Newton (Torrey Smith pass from Cam Newton),17,20
7,4.0,3:15,Redskins,Dustin Hopkins 29 yard field goal,17,23
