,Quarter,Tm,Detail,RCH,COL
0,1,Tigers,Bob Rapp 55 yard pass from Sonny Winters,0,6
1,2,Tigers,Sonny Winters unknown yard field goal,0,9
2,4,Tigers,Paul Goebel 11 yard pass from Sonny Winters (Sonny Winters kick),0,16
