,Quarter,Tm,Detail,PHI,STL
0,1.0,Cardinals,John David Crow 5 yard rush (Gerry Perry kick),0,7
1,1.0,Eagles,Tommy McDonald 56 yard pass from Sonny Jurgensen (Bobby Walston kick),7,7
2,1.0,Cardinals,Sonny Randle 77 yard pass from Charley Johnson (Gerry Perry kick),7,14
3,2.0,Eagles,Tommy McDonald 60 yard pass from Sonny Jurgensen (Bobby Walston kick),14,14
4,2.0,Cardinals,Gerry Perry 42 yard field goal,14,17
5,2.0,Cardinals,John David Crow 16 yard pass from Charley Johnson (Gerry Perry kick),14,24
6,2.0,Eagles,Timmy Brown 60 yard pass from Sonny Jurgensen (Bobby Walston kick),21,24
7,2.0,Eagles,Tommy McDonald 40 yard pass from Sonny Jurgensen (Bobby Walston kick),28,24
8,2.0,Cardinals,Charley Johnson 6 yard rush (Gerry Perry kick),28,31
9,3.0,Eagles,Timmy Brown 82 yard pass from Sonny Jurgensen (Bobby Walston kick),35,31
10,3.0,Cardinals,John David Crow 1 yard rush (Gerry Perry kick),35,38
11,4.0,Cardinals,John David Crow 2 yard rush (Gerry Perry kick),35,45
