,Quarter,Time,Tm,Detail,NYG,PHI
0,2,15:00,Giants,Darius Slayton 35 yard pass from Eli Manning (Aldrick Rosas kick),7,0
1,2,9:36,Eagles,Jake Elliott 34 yard field goal,7,3
2,2,5:33,Giants,Aldrick Rosas 34 yard field goal,10,3
3,2,0:35,Giants,Darius Slayton 55 yard pass from Eli Manning (Aldrick Rosas kick),17,3
4,3,1:32,Eagles,Boston Scott 2 yard rush (Jake Elliott kick),17,10
5,4,1:56,Eagles,Zach Ertz 2 yard pass from Carson Wentz (Jake Elliott kick),17,17
6,OT,5:13,Eagles,Zach Ertz 2 yard pass from Carson Wentz,17,23
