,Quarter,Tm,Detail,NWE,BUF
0,2.0,Patriots,John Smith 44 yard field goal,3,0
1,2.0,Bills,George Jakowenko 46 yard field goal,3,3
2,2.0,Patriots,John Smith 32 yard field goal,6,3
3,3.0,Patriots,Russ Francis 9 yard pass from Steve Grogan,12,3
4,3.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),19,3
5,3.0,Bills,O.J. Simpson 32 yard rush (pass failed),19,9
6,4.0,Patriots,Steve Grogan 10 yard rush (John Smith kick),26,9
7,4.0,Bills,Bob Chandler 4 yard pass from Gary Marangi (George Jakowenko kick),26,16
8,4.0,Bills,O.J. Simpson 2 yard rush,26,22
