,Quarter,Tm,Detail,STL,WAS
0,1.0,Redskins,Bobby Mitchell 41 yard pass from Norm Snead (Bob Khayat kick),0,7
1,2.0,Redskins,Bobby Mitchell 23 yard pass from Norm Snead (Bob Khayat kick),0,14
2,3.0,Cardinals,John David Crow 6 yard rush (Gerry Perry kick),7,14
3,4.0,Redskins,Bob Khayat 28 yard field goal,7,17
4,4.0,Redskins,Jim Cunningham 1 yard rush (Bob Khayat kick),7,24
5,4.0,Cardinals,John David Crow 1 yard rush (Gerry Perry kick),14,24
