,Quarter,Tm,Detail,BAL,RAM
0,1.0,Colts,John Mackey 89 yard pass from Johnny Unitas (Lou Michaels kick),7,0
1,1.0,Colts,Lou Michaels 31 yard field goal,10,0
2,2.0,Rams,Bruce Gossett 12 yard field goal,10,3
3,2.0,Colts,John Mackey 17 yard pass from Johnny Unitas (Lou Michaels kick),17,3
