,Quarter,Tm,Detail,CHI,CIN
0,1.0,Bears,Jim McMahon 1 yard rush (Kevin Butler kick),7,0
1,1.0,Bears,Walter Payton 2 yard pass from Jim McMahon (Kevin Butler kick),14,0
2,1.0,Bears,Willie Gault 53 yard pass from Jim McMahon (Kevin Butler kick),21,0
3,2.0,Bengals,James Brooks 5 yard pass from Boomer Esiason (Jim Breech kick),21,7
4,2.0,Bears,Kevin Butler 41 yard field goal,24,7
5,3.0,Bears,Emery Moorehead 20 yard pass from Jim McMahon (Kevin Butler kick),31,7
6,3.0,Bears,Thomas Sanders 1 yard rush (Kevin Butler kick),38,7
7,4.0,Bears,Thomas Sanders 75 yard rush,44,7
