,Quarter,Tm,Detail,RAI,GNB
0,2.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),7,0
1,3.0,Raiders,Vann McElroy 35 yard interception return (Chris Bahr kick),14,0
2,4.0,Raiders,Chris Bahr 40 yard field goal,17,0
3,4.0,Raiders,Chris Bahr 27 yard field goal,20,0
