,Quarter,Time,Tm,Detail,NYJ,CIN
0,1.0,,Jets,Fred Baxter 2 yard pass from Neil O'Donnell (John Hall kick),7,0
1,2.0,,Bengals,Carl Pickens 50 yard pass from Jeff Blake (Doug Pelfrey kick),7,7
2,2.0,,Jets,Adrian Murrell 12 yard rush (John Hall kick),14,7
3,2.0,,Jets,John Hall 44 yard field goal,17,7
4,2.0,,Jets,Keyshawn Johnson 12 yard pass from Neil O'Donnell (John Hall kick),24,7
5,4.0,,Jets,Richie Anderson 8 yard pass from Neil O'Donnell (John Hall kick),31,7
6,4.0,,Bengals,Darnay Scott 26 yard pass from Jeff Blake (Doug Pelfrey kick),31,14
