,Quarter,Time,Tm,Detail,NOR,STL
0,1.0,,Saints,Chip Lohmiller 33 yard field goal,3,0
1,1.0,,Rams,Isaac Bruce 33 yard pass from Chris Miller (Steve McLaughlin kick),3,7
2,2.0,,Rams,Steve McLaughlin 31 yard field goal,3,10
3,2.0,,Rams,Todd Lyght 29 yard interception return (Steve McLaughlin kick),3,17
4,3.0,,Saints,Torrance Small 1 yard pass from Jim Everett (Chip Lohmiller kick),10,17
5,4.0,,Saints,Chip Lohmiller 34 yard field goal,13,17
