,Quarter,Time,Tm,Detail,JAX,NYG
0,1.0,10:54,Giants,Tiki Barber 2 yard rush (Matt Bryant kick),0,7
1,2.0,0:09,Giants,Ron Dixon 8 yard pass from Kerry Collins (Matt Bryant kick),0,14
2,3.0,11:54,Giants,Matt Bryant 27 yard field goal,0,17
3,3.0,7:18,Giants,Tiki Barber 44 yard rush (Matt Bryant kick),0,24
4,3.0,3:16,Jaguars,Tim Seder 24 yard field goal,3,24
5,4.0,5:20,Jaguars,Bobby Shaw 14 yard pass from Mark Brunell (Tim Seder kick),10,24
6,4.0,1:47,Jaguars,Jimmy Smith 9 yard pass from Mark Brunell (Tim Seder kick),17,24
