,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,David Hill 9 yard pass from Gary Danielson (Eddie Murray kick),0,7
1,1.0,Packers,James Lofton 17 yard pass from Lynn Dickey (Jan Stenerud kick),7,7
2,1.0,Lions,Leonard Thompson 25 yard pass from Gary Danielson (Eddie Murray kick),7,14
3,2.0,Lions,Eddie Murray 49 yard field goal,7,17
4,2.0,Packers,Eddie Lee Ivery 11 yard rush (Jan Stenerud kick),14,17
5,3.0,Lions,Eddie Murray 28 yard field goal,14,20
6,3.0,Packers,Jan Stenerud 48 yard field goal,17,20
7,3.0,Packers,Del Rodgers offensive fumble recovery in end zone (Jan Stenerud kick),24,20
8,4.0,Lions,Rob Rubick 1 yard rush (Eddie Murray kick),24,27
