,Quarter,Time,Tm,Detail,TEN,JAX
0,1.0,,Jaguars,Mike Hollis 21 yard field goal,0,3
1,1.0,,Jaguars,Fred Taylor 1 yard rush (Mike Hollis kick),0,10
2,2.0,,Oilers,Jackie Harris 4 yard pass from Steve McNair (Al Del Greco kick),7,10
3,2.0,,Oilers,Al Del Greco 28 yard field goal,10,10
4,4.0,,Oilers,Al Del Greco 30 yard field goal,13,10
5,4.0,,Jaguars,Mike Hollis 29 yard field goal,13,13
6,4.0,0:08,Oilers,Al Del Greco 41 yard field goal,16,13
