,Quarter,Time,Tm,Detail,NYJ,MIN
0,1.0,12:53,Vikings,Travis Taylor 30 yard pass from Brad Johnson (Ryan Longwell kick),0,7
1,1.0,6:20,Jets,Cedric Houston 6 yard rush (Mike Nugent kick),7,7
2,2.0,11:39,Jets,Mike Nugent 25 yard field goal,10,7
3,2.0,6:12,Jets,Laveranues Coles 21 yard pass from Chad Pennington (Mike Nugent kick),17,7
4,2.0,2:48,Jets,Mike Nugent 52 yard field goal,20,7
5,2.0,0:00,Jets,Mike Nugent 45 yard field goal,23,7
6,3.0,4:27,Jets,Mike Nugent 20 yard field goal,26,7
7,4.0,6:15,Vikings,Mewelde Moore 35 yard pass from Tarvaris Jackson (pass failed),26,13
