,Quarter,Tm,Detail,DUL,GNB
0,1,Packers,Tillie Voss unknown yard pass from Curly Lambeau (Cub Buck kick),0,7
1,2,Packers,Charlie Mathys unknown yard pass from Curly Lambeau,0,13
