,Quarter,Time,Tm,Detail,BAL,NYJ
0,1.0,9:37,Ravens,Chris Moore defensive fumble recovery in end zone (Justin Tucker kick),7,0
1,1.0,4:27,Ravens,Justin Tucker 50 yard field goal,10,0
2,1.0,1:12,Jets,Quincy Enunwa 69 yard pass from Geno Smith (Nick Folk kick),10,7
3,2.0,11:57,Ravens,Justin Tucker 49 yard field goal,13,7
4,2.0,1:45,Jets,Matt Forte 13 yard pass from Ryan Fitzpatrick (Nick Folk kick),13,14
5,2.0,0:00,Ravens,Justin Tucker 44 yard field goal,16,14
6,3.0,5:00,Jets,Nick Folk 22 yard field goal,16,17
7,3.0,0:56,Jets,Matt Forte 1 yard rush (Nick Folk kick),16,24
