,Quarter,Tm,Detail,GNB,PIT
0,1.0,Steelers,Gary Anderson 25 yard field goal,0,3
1,1.0,Steelers,Weegie Thompson 18 yard pass from Mark Malone (Gary Anderson kick),0,10
2,2.0,Steelers,Gary Anderson 40 yard field goal,0,13
3,2.0,Packers,Al Del Greco 34 yard field goal,3,13
4,3.0,Steelers,Weegie Thompson 9 yard pass from Mark Malone (Gary Anderson kick),3,20
5,4.0,Steelers,Weegie Thompson 6 yard pass from Mark Malone (Gary Anderson kick),3,27
