,Quarter,Time,Tm,Detail,NYJ,BUF
0,1.0,12:06,Jets,Curtis Martin 16 yard rush (John Hall kick),7,0
1,1.0,11:13,Jets,Richie Anderson 4 yard pass from Vinny Testaverde (John Hall kick),14,0
2,1.0,8:10,Bills,Eric Moulds 46 yard pass from Rob Johnson (pass failed),14,6
3,1.0,3:27,Jets,John Abraham 7 yard defensive fumble return (John Hall kick),21,6
4,2.0,10:34,Bills,Jake Arians 28 yard field goal,21,9
5,2.0,5:49,Jets,Curtis Martin 4 yard rush (John Hall kick),28,9
6,2.0,1:18,Bills,Jay Riemersma 3 yard pass from Alex Van Pelt (pass failed),28,15
7,3.0,13:55,Bills,Peerless Price 70 yard pass from Alex Van Pelt (Jake Arians kick),28,22
8,3.0,2:50,Jets,Anthony Becht 2 yard pass from Vinny Testaverde (John Hall kick),35,22
9,3.0,1:46,Jets,Mo Lewis 15 yard defensive fumble return (John Hall kick),42,22
10,4.0,4:32,Bills,Larry Centers 2 yard rush (Jake Arians kick),42,29
11,4.0,0:07,Bills,Larry Centers 6 yard pass from Alex Van Pelt (Jake Arians kick),42,36
