,Quarter,Tm,Detail,PIT,HOU
0,1,Oilers,Roy Gerela 34 yard field goal,0,3
1,2,Steelers,Ron Shanklin 67 yard pass from Terry Bradshaw (Gene Mingo kick),7,3
