,Quarter,Tm,Detail,GNB,CRD
0,1.0,Packers,Clarke Hinkle 12 yard pass from Arnie Herber (Tiny Engebretsen kick),7,0
1,2.0,Cardinals,Hugh McCullough 1 yard rush (Lou Zontini kick),7,7
2,2.0,Packers,Clarke Hinkle 1 yard rush (Don Hutson kick),14,7
3,4.0,Packers,Carl Mulleneaux 6 yard pass from Cecil Isbell (Don Hutson kick),21,7
4,4.0,Packers,Clarke Hinkle 9 yard rush (Don Hutson kick),28,7
