,Quarter,Time,Tm,Detail,CAR,MIN
0,1.0,8:09,Panthers,Steve Beuerlein 1 yard rush (Joe Nedney kick),7,0
1,1.0,5:41,Vikings,Randy Moss 36 yard pass from Daunte Culpepper (Gary Anderson kick),7,7
2,1.0,0:29,Vikings,Robert Smith 53 yard pass from Daunte Culpepper (Gary Anderson kick),7,14
3,2.0,10:35,Vikings,Robert Smith 3 yard rush (Gary Anderson kick),7,21
4,2.0,0:20,Panthers,Chris Hetherington 1 yard rush (Joe Nedney kick),14,21
5,2.0,0:00,Vikings,Gary Anderson 43 yard field goal,14,24
6,3.0,2:02,Vikings,Cris Carter 15 yard pass from Daunte Culpepper (Gary Anderson kick),14,31
7,4.0,4:27,Panthers,Joe Nedney 28 yard field goal,17,31
