,Quarter,Tm,Detail,STL,DAL
0,1.0,Cowboys,Rafael Septien 44 yard field goal,0,3
1,1.0,Cowboys,Rafael Septien 43 yard field goal,0,6
2,2.0,Cardinals,John Lee 45 yard field goal,3,6
3,2.0,Cowboys,Mike Sherrard 36 yard pass from Danny White (Rafael Septien kick),3,13
4,2.0,Cowboys,Herschel Walker 19 yard rush (Rafael Septien kick),3,20
5,2.0,Cowboys,Tony Hill 20 yard pass from Danny White (Rafael Septien kick),3,27
6,2.0,Cardinals,John Lee 36 yard field goal,6,27
7,3.0,Cowboys,Herschel Walker 4 yard rush (Rafael Septien kick),6,34
8,3.0,Cowboys,Rafael Septien 47 yard field goal,6,37
