,Quarter,Time,Tm,Detail,SFO,DAL
0,2.0,12:19,Cowboys,Jon Hilbert 22 yard field goal,0,3
1,2.0,10:07,49ers,Jeff Garcia 6 yard rush (Jose Cortez kick),7,3
2,2.0,4:44,Cowboys,Darrin Chiaverini 2 yard pass from Quincy Carter (Jon Hilbert kick),7,10
3,2.0,0:12,49ers,J.J. Stokes 7 yard pass from Jeff Garcia (Jose Cortez kick),14,10
4,3.0,10:11,Cowboys,Quincy Carter 1 yard rush (Jon Hilbert kick),14,17
5,3.0,5:50,Cowboys,Joey Galloway 47 yard pass from Quincy Carter (Jon Hilbert kick),14,24
6,4.0,10:29,Cowboys,Jon Hilbert 20 yard field goal,14,27
7,4.0,0:39,49ers,J.J. Stokes 3 yard pass from Jeff Garcia (Jose Cortez kick),21,27
