,Quarter,Tm,Detail,NOR,SFO
0,1,Saints,Mike Strachan 2 yard rush (Tom Jurich kick),7,0
1,2,Saints,Ike Harris 15 yard pass from Archie Manning (Tom Jurich kick),14,0
2,4,49ers,Freddie Solomon 22 yard pass from Steve DeBerg (Ray Wersching kick),14,7
