,Quarter,Time,Tm,Detail,HOU,IND
0,1.0,7:51,Colts,Coby Fleener 1 yard pass from Andrew Luck (Adam Vinatieri kick),0,7
1,1.0,0:06,Texans,Shayne Graham 51 yard field goal,3,7
2,2.0,10:22,Texans,Shayne Graham 37 yard field goal,6,7
3,2.0,2:00,Colts,Vick Ballard 1 yard rush (Adam Vinatieri kick),6,14
4,3.0,9:25,Texans,Arian Foster 13 yard rush (Shayne Graham kick),13,14
5,3.0,5:22,Texans,Shayne Graham 37 yard field goal,16,14
6,3.0,5:10,Colts,Deji Karim 101 yard kickoff return (Adam Vinatieri kick),16,21
7,4.0,11:22,Colts,T.Y. Hilton 70 yard pass from Andrew Luck (Adam Vinatieri kick),16,28
