,Quarter,Tm,Detail,SFO,KAN
0,1.0,Chiefs,Nick Lowery 40 yard field goal,0,3
1,1.0,49ers,Ray Wersching 32 yard field goal,3,3
2,2.0,Chiefs,Anthony Hancock 41 yard pass from Bill Kenney (Nick Lowery kick),3,10
3,3.0,49ers,Ray Wersching 44 yard field goal,6,10
4,3.0,49ers,Ray Wersching 42 yard field goal,9,10
5,4.0,49ers,Jeff Moore 1 yard rush (Ray Wersching kick),16,10
6,4.0,Chiefs,Nick Lowery 39 yard field goal,16,13
7,4.0,49ers,Ray Wersching 34 yard field goal,19,13
8,4.0,49ers,Ronnie Lott 83 yard interception return (Ray Wersching kick),26,13
