,Quarter,Tm,Detail,CHI,SFO
0,1.0,Bears,Rosey Taylor 43 yard interception return (Roger LeClerc kick),7,0
1,1.0,Bears,Roger LeClerc 17 yard field goal,10,0
2,2.0,Bears,Rick Casares 16 yard rush (Roger LeClerc kick),17,0
3,3.0,49ers,John Brodie 6 yard rush (Tommy Davis kick),17,7
4,3.0,Bears,Willie Galimore 37 yard rush (Roger LeClerc kick),24,7
5,4.0,49ers,Bernie Casey 33 yard pass from John Brodie (Tommy Davis kick),24,14
6,4.0,Bears,Willie Galimore 77 yard rush,30,14
