,Quarter,Tm,Detail,MIN,TAM
0,1.0,Vikings,Robert Miller 1 yard rush (Rick Danmeier kick),7,0
1,2.0,Vikings,Rick Danmeier 36 yard field goal,10,0
2,2.0,Buccaneers,Morris Owens 56 yard pass from Doug Williams (Neil O'Donoghue kick),10,7
3,2.0,Vikings,Sammy White 21 yard pass from Fran Tarkenton (Rick Danmeier kick),17,7
4,4.0,Vikings,Fred McNeill 16 yard blocked punt return (Rick Danmeier kick),24,7
