,Quarter,Tm,Detail,PIT,PHI
0,2.0,Steelers,Sidney Thornton 7 yard rush (Matt Bahr kick),7,0
1,2.0,Eagles,Leroy Harris 1 yard rush (Tony Franklin kick),7,7
2,3.0,Eagles,Tony Franklin 48 yard field goal,7,10
3,3.0,Eagles,Wilbert Montgomery 1 yard rush (Tony Franklin kick),7,17
4,4.0,Steelers,John Stallworth 37 yard pass from Terry Bradshaw (Matt Bahr kick),14,17
