,Quarter,Tm,Detail,PIT,DEN
0,1.0,Steelers,Gary Anderson 32 yard field goal,3,0
1,2.0,Steelers,Merril Hoge 7 yard rush (Gary Anderson kick),10,0
2,2.0,Broncos,Mel Bratton 1 yard rush (David Treadwell kick),10,7
3,2.0,Steelers,Louis Lipps 9 yard pass from Bubby Brister (Gary Anderson kick),17,7
4,2.0,Broncos,David Treadwell 43 yard field goal,17,10
5,3.0,Broncos,Vance Johnson 37 yard pass from John Elway (David Treadwell kick),17,17
6,3.0,Steelers,Gary Anderson 35 yard field goal,20,17
7,4.0,Steelers,Gary Anderson 32 yard field goal,23,17
8,4.0,Broncos,Mel Bratton 1 yard rush (David Treadwell kick),23,24
