,Quarter,Tm,Detail,TAM,DET
0,1.0,Buccaneers,Ron Hall 54 yard pass from Vinny Testaverde (Steve Christie kick),7,0
1,1.0,Lions,Robert Clark 26 yard pass from Rodney Peete (Eddie Murray kick),7,7
2,1.0,Lions,Barry Sanders 1 yard rush (Eddie Murray kick),7,14
3,2.0,Buccaneers,Bruce Perkins 8 yard pass from Vinny Testaverde (Steve Christie kick),14,14
4,2.0,Buccaneers,Gary Anderson 19 yard pass from Vinny Testaverde (Steve Christie kick),21,14
5,3.0,Buccaneers,Reggie Cobb 2 yard rush (Steve Christie kick),28,14
6,4.0,Buccaneers,Steve Christie 22 yard field goal,31,14
7,4.0,Lions,Robert Clark 16 yard pass from Bob Gagliano (Eddie Murray kick),31,21
8,4.0,Buccaneers,Wayne Haddix 62 yard interception return (Steve Christie kick),38,21
