,Quarter,Tm,Detail,DEN,ATL
0,1.0,Broncos,Joe Dawkins 1 yard rush (Jim Turner kick),7,0
1,1.0,Broncos,Jim Turner 13 yard field goal,10,0
2,2.0,Broncos,Jim Turner 38 yard field goal,13,0
3,2.0,Falcons,"Safety, Johnson tackled by Humphrey in end zone",13,2
4,2.0,Falcons,Art Malone 1 yard rush (Bill Bell kick),13,9
5,2.0,Falcons,Art Malone 1 yard rush (Bill Bell kick),13,16
6,3.0,Falcons,Wes Chesson 27 yard pass from Bob Berry (Bill Bell kick),13,23
7,4.0,Broncos,Rod Sherman 34 yard pass from Steve Ramsey (Jim Turner kick),20,23
