,Quarter,Tm,Detail,CHI,MIN
0,1.0,Bears,Ronnie Bull 24 yard pass from Billy Wade (Bob Jencks kick),7,0
1,2.0,Vikings,Jerry Reichow 24 yard pass from Fran Tarkenton (Fred Cox kick),7,7
2,2.0,Bears,Mike Ditka 36 yard pass from Billy Wade (Bob Jencks kick),14,7
3,4.0,Bears,Billy Wade 1 yard rush (Bob Jencks kick),21,7
4,4.0,Bears,Mike Ditka 10 yard pass from Billy Wade (Bob Jencks kick),28,7
