,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Amp Lee 6 yard pass from Steve Young (Mike Cofer kick),7,0
1,1.0,Falcons,Andre Rison 5 yard pass from Bobby Hebert (Norm Johnson kick),7,7
2,2.0,49ers,Tom Rathman 2 yard rush (Mike Cofer kick),14,7
3,2.0,49ers,Mike Cofer 32 yard field goal,17,7
4,3.0,49ers,Steve Young 10 yard rush (Mike Cofer kick),24,7
5,4.0,Falcons,Michael Haynes 1 yard pass from Bobby Hebert (Norm Johnson kick),24,14
6,4.0,Falcons,Andre Rison 6 yard pass from Bobby Hebert (Norm Johnson kick),24,21
7,4.0,Falcons,Norm Johnson 47 yard field goal,24,24
8,4.0,Falcons,Norm Johnson 37 yard field goal,24,27
