,Quarter,Tm,Detail,HOU,MIA
0,1.0,Dolphins,Pete Stoyanovich 34 yard field goal,0,3
1,2.0,Oilers,Darryll Lewis 33 yard interception return (Ian Howfield kick),7,3
2,2.0,Dolphins,Mark Clayton 19 yard pass from Dan Marino (Pete Stoyanovich kick),7,10
3,3.0,Oilers,Ian Howfield 26 yard field goal,10,10
4,3.0,Dolphins,Pete Stoyanovich 46 yard field goal,10,13
5,4.0,Oilers,Curtis Duncan 1 yard pass from Warren Moon (Ian Howfield kick),17,13
