,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Timmy Newsome 1 yard rush (Roger Ruzek kick),0,7
1,1.0,Redskins,Gary Clark 13 yard pass from Mark Rypien (Chip Lohmiller kick),7,7
2,2.0,Redskins,Kelvin Bryant 10 yard pass from Mark Rypien (Chip Lohmiller kick),14,7
3,2.0,Cowboys,Roger Ruzek 45 yard field goal,14,10
4,2.0,Redskins,Kelvin Bryant 9 yard rush (Chip Lohmiller kick),21,10
5,2.0,Redskins,Mark Rypien 19 yard rush (Chip Lohmiller kick),28,10
6,4.0,Cowboys,Kelvin Martin 35 yard pass from Steve Pelluer (Roger Ruzek kick),28,17
7,4.0,Redskins,Kelvin Bryant 24 yard pass from Mark Rypien (Chip Lohmiller kick),35,17
