,Quarter,Tm,Detail,CRD,NYG
0,1.0,Giants,Ed Danowski 1 yard rush,0,6
1,3.0,Cardinals,Bill Smith 46 yard pass from Ike Peterson (Bill Smith kick),7,6
2,3.0,Giants,Tod Goodwin 29 yard pass from Ed Danowski (Harry Newman kick),7,13
3,4.0,Cardinals,Phil Sarboe 88 yard punt return (Bill Smith kick),14,13
