,Quarter,Tm,Detail,DEN,GNB
0,1.0,Packers,Chris Jacke 28 yard field goal,0,3
1,1.0,Packers,John Stephens 1 yard rush (Chris Jacke kick),0,10
2,1.0,Packers,Edgar Bennett 1 yard rush (Chris Jacke kick),0,17
3,2.0,Broncos,Vance Johnson 14 yard pass from John Elway (Jason Elam kick),7,17
4,2.0,Packers,Jackie Harris 66 yard pass from Brett Favre (Chris Jacke kick),7,24
5,2.0,Packers,Chris Jacke 32 yard field goal,7,27
6,2.0,Packers,Chris Jacke 21 yard field goal,7,30
7,3.0,Broncos,Mike Croel 22 yard interception return (Jason Elam kick),14,30
8,3.0,Broncos,Rod Bernstine 2 yard rush (Jason Elam kick),21,30
9,4.0,Broncos,Jason Elam 47 yard field goal,24,30
10,4.0,Broncos,Jason Elam 37 yard field goal,27,30
