,Quarter,Time,Tm,Detail,WAS,NWE
0,1.0,9:01,Patriots,Julian Edelman 8 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
1,1.0,4:30,Patriots,LeGarrette Blount 5 yard rush (Stephen Gostkowski kick),0,14
2,2.0,7:56,Patriots,Stephen Gostkowski 21 yard field goal,0,17
3,2.0,0:13,Redskins,Dustin Hopkins 23 yard field goal,3,17
4,3.0,7:32,Patriots,Stephen Gostkowski 21 yard field goal,3,20
5,4.0,11:28,Patriots,Brandon Bolden 18 yard pass from Tom Brady (Stephen Gostkowski kick),3,27
6,4.0,0:25,Redskins,Jordan Reed 3 yard pass from Kirk Cousins (Dustin Hopkins kick),10,27
