,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Mike Cofer 35 yard field goal,3,0
1,1.0,49ers,Mike Cofer 23 yard field goal,6,0
2,2.0,Falcons,Greg Davis 46 yard field goal,6,3
3,2.0,Falcons,Ron Heller 28 yard pass from Chris Miller (Greg Davis kick),6,10
4,3.0,49ers,John Taylor 38 yard pass from Steve Young (Mike Cofer kick),13,10
5,4.0,49ers,Steve Young 1 yard rush (Mike Cofer kick),20,10
6,4.0,49ers,Mike Cofer 27 yard field goal,23,10
