,Quarter,Tm,Detail,CLE,NYG
0,1.0,Browns,Paul Warfield 40 yard pass from Bill Nelsen (Don Cockroft kick),7,0
1,2.0,Giants,Pete Gogolak 25 yard field goal,7,3
2,2.0,Giants,Pete Gogolak 45 yard field goal,7,6
3,2.0,Giants,Ernie Koy 1 yard rush (Pete Gogolak kick),7,13
4,3.0,Browns,Leroy Kelly 2 yard rush (Don Cockroft kick),14,13
5,4.0,Giants,Joe Morrison 1 yard pass from Fran Tarkenton (Pete Gogolak kick),14,20
6,4.0,Giants,Joe Morrison 1 yard rush (Pete Gogolak kick),14,27
