,Quarter,Tm,Detail,CHI,TAM
0,1.0,Bears,Walter Payton 8 yard rush (Bob Thomas kick),7,0
1,1.0,Bears,Walter Payton 3 yard rush (Bob Thomas kick),14,0
2,2.0,Buccaneers,Obed Ariri 46 yard field goal,14,3
3,2.0,Bears,Dennis McKinnon 32 yard pass from Jim McMahon,20,3
4,3.0,Bears,Willie Gault 10 yard pass from Jim McMahon (Bob Thomas kick),27,3
5,4.0,Bears,Bob Thomas 49 yard field goal,30,3
6,4.0,Buccaneers,Gerald Carter 4 yard pass from Steve DeBerg,30,9
7,4.0,Bears,Brad Anderson 49 yard pass from Jim McMahon (Bob Thomas kick),37,9
8,4.0,Bears,Dennis Gentry 5 yard rush (Bob Thomas kick),44,9
