,Quarter,Time,Tm,Detail,OAK,ARI
0,1.0,14:46,Cardinals,LaRod Stephens-Howling 102 yard kickoff return (Jay Feely kick),0,7
1,1.0,10:54,Raiders,Zach Miller 22 yard pass from Bruce Gradkowski (Sebastian Janikowski kick),7,7
2,1.0,6:42,Raiders,Sebastian Janikowski 22 yard field goal,10,7
3,1.0,3:55,Cardinals,Jay Feely 42 yard field goal,10,10
4,1.0,1:54,Raiders,Sebastian Janikowski 54 yard field goal,13,10
5,2.0,10:44,Cardinals,Steve Breaston 2 yard pass from Derek Anderson (Jay Feely kick),13,17
6,2.0,0:10,Raiders,Darren McFadden 2 yard rush (Sebastian Janikowski kick),20,17
7,3.0,1:01,Cardinals,Larry Fitzgerald 8 yard pass from Derek Anderson (Jay Feely kick),20,24
8,4.0,7:59,Raiders,Sebastian Janikowski 23 yard field goal,23,24
