,Quarter,Tm,Detail,SFO,CIN
0,1.0,49ers,Bill Ring 4 yard pass from Joe Montana (Ray Wersching kick),7,0
1,2.0,Bengals,Jim Breech 30 yard field goal,7,3
2,2.0,49ers,Dwight Clark 15 yard pass from Joe Montana (Ray Wersching kick),14,3
3,4.0,49ers,Joe Montana 1 yard rush (Ray Wersching kick),21,3
