,Quarter,Tm,Detail,CLE,DET
0,1.0,Lions,Doak Walker 1 yard rush (Doak Walker kick),0,7
1,2.0,Browns,Lou Groza 13 yard field goal,3,7
2,2.0,Lions,Doak Walker 23 yard field goal,3,10
3,3.0,Browns,Chick Jagade 9 yard rush (Lou Groza kick),10,10
4,4.0,Browns,Lou Groza 15 yard field goal,13,10
5,4.0,Browns,Lou Groza 43 yard field goal,16,10
6,4.0,Lions,Jim Doran 33 yard pass from Bobby Layne (Doak Walker kick),16,17
