,Quarter,Tm,Detail,NYG,WAS
0,1.0,Giants,Lewis Tillman 3 yard rush (David Treadwell kick),7,0
1,2.0,Giants,Howard Cross 7 yard pass from Phil Simms,13,0
2,2.0,Giants,Mike Sherrard 42 yard pass from Dave Meggett (David Treadwell kick),20,0
3,2.0,Giants,Howard Cross 17 yard pass from Phil Simms (David Treadwell kick),27,0
4,2.0,Redskins,Tim McGee 12 yard pass from Mark Rypien (Chip Lohmiller kick),27,7
5,4.0,Giants,Mike Sherrard 55 yard pass from Phil Simms (David Treadwell kick),34,7
6,4.0,Giants,Kenyon Rasheed 23 yard rush (David Treadwell kick),41,7
